id,people_name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
mKBl4fAqTfNts7B78aOPVg,Dave,752,2009-10-11 04:00:50,2805,1049,1770,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",76,3.68,163,20,6,2,12,202,891,557,557,74,70
bnVzSHI48lEHPaEzZNIqJg,Amanda,650,2007-06-08 14:30:04,1555,559,553,,39,3.97,35,7,4,0,2,36,28,34,34,13,1
5AfZjChiQ3xMJDtSgwIyWA,Jonathan,48,2008-09-11 13:32:54,161,129,88,2010,6,3.61,14,6,1,0,0,11,8,17,17,13,0
mIhyBkwPmOBymkDN_zZzxw,Todd,163,2016-02-20 19:43:32,74,32,16,,6,3.09,2,1,0,0,0,4,2,4,4,2,1
HR5TCqAjP9rlM_n_BA0JfA,Kay,223,2014-10-20 04:32:42,4301,2760,3766,"2015,2016,2017,2018",125,3.76,727,111,47,38,21,404,2596,1766,1766,227,546
VnmLtJXW8uselY1cXx8a4w,Tayluh',11,2015-05-26 21:52:14,9,1,2,,0,2.27,0,0,0,0,0,0,0,0,0,0,0
vJH0qpV7sTxVHlH7n8iUXA,Rachel,41,2009-09-01 16:28:17,43,5,13,,1,4.41,0,0,0,0,0,1,1,0,0,0,0
vG73PwW2u43An4_b4CGSuA,Jacqui,180,2015-01-17 20:49:02,289,29,209,"2017,2018,2021",8,3.88,8,0,1,1,0,10,51,18,18,6,21
nZhmPaZrHgF4N1shnL3T6g,Elizabeth,12,2015-03-09 23:26:17,11,1,2,,0,3.42,0,1,0,0,0,0,0,0,0,0,0
tfO6iJOET3RdOJhm40jUGQ,Alicia,19,2014-08-03 13:54:15,26,11,3,,2,2.95,0,0,0,0,0,0,0,0,0,0,0
RDo62yK9UyPtEmzC9p7Oyg,Shane,29,2014-05-03 02:45:45,12,2,2,,0,3.8,0,0,0,0,0,0,0,0,0,0,0
ERFfbEWAeqEF91ipoaUu6w,Elysia,33,2018-05-06 15:49:15,9,1,4,,0,3.47,1,0,0,0,0,1,1,1,1,0,0
8o5qyA1Axxnp0YREKE2hFA,Kris,15,2011-01-27 23:10:14,27,3,0,,0,3.4,0,1,0,0,0,1,0,0,0,0,0
YxNNbKHNx5_RMcC40QSJ-A,Felicia,2,2015-03-21 23:09:50,0,0,0,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
FpZQNN3d0c06eozeLYbqTQ,Kerpal,24,2012-12-27 16:44:23,26,2,5,,0,3.68,0,0,0,0,0,0,0,1,1,1,0
55NM98uFBptY9NDlvLXikg,Ken,70,2011-05-29 02:13:23,61,12,24,,0,4.18,0,1,0,0,0,0,0,1,1,0,0
ZHoUTmhvgmz7E_AXOM5_rA,Rhonda,55,2013-09-08 02:11:03,27,7,7,,1,4.11,1,0,0,0,0,1,0,0,0,0,0
2vEpqNWaN-fZ8M63SySODQ,Craig,7,2013-03-15 02:27:19,1,0,0,,1,4.0,0,0,0,0,0,0,0,0,0,1,0
jTp8rRtsFoq01Juv2R0pzw,Kate,25,2009-06-21 16:03:12,31,17,12,,2,3.49,3,2,0,1,1,7,9,5,5,1,1
6zdHISU9sX7DV9uC6f2vvg,Tiffany,2,2019-03-30 18:25:20,2,1,1,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
VD1zLrgNBcztR10sTpNm3g,Jessica,4,2018-05-13 21:33:10,7,0,1,,0,2.75,0,0,0,0,0,0,0,0,0,0,0
ipjlD-L4w_ktG05iJECxlg,Ben,177,2010-04-09 04:48:15,1541,660,1210,"2018,2019",40,3.82,82,6,4,0,1,58,172,244,244,28,48
m0KA2DIg3VKsvR2aQHn_jA,Zari Berri,1,2014-10-23 22:09:12,3,2,1,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
YGzfha49Ke-IKXAuCcGLOg,LaShaye,92,2012-02-17 18:48:58,101,34,21,,6,3.56,2,0,0,0,0,5,2,0,0,0,2
ybc05luhM2JQiO6hT0kt2A,Michelle,16,2015-12-21 02:05:19,4,3,1,,0,4.0,0,1,0,0,0,0,0,0,0,0,0
31N3UJj6j8D7zKxFaSVyXw,Michael,1069,2013-08-17 23:35:28,1245,390,698,"2018,2019,20,20,2021",31,3.88,23,7,2,1,1,18,23,28,28,20,11
MrScyzfSsozlJ0cBt4mqhQ,Kathy,1,2015-03-22 17:27:10,0,0,0,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
HL6sLHx2nyKFos471H1JyQ,Sonia,23,2018-06-22 14:45:24,2,1,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
ikDYSP8y2J0mw6L22twWnQ,Rachel,10,2016-02-29 13:30:20,1,1,1,,3,2.8,0,0,0,0,0,0,0,0,0,0,0
SAyc6gRZ9zxsyTBWrE_Nkw,Lionel,1,2015-10-13 01:53:33,0,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
mTYYS_2oUX8mHERN4JZ-0A,Mike,2,2016-01-14 20:26:51,1,0,0,,0,5.0,0,0,0,0,0,0,0,0,0,0,0
xuiKXdLqy1xrmlvCEL7EHg,Eunice,15,2016-03-11 22:23:02,6,1,2,,0,2.33,0,0,0,0,0,0,0,0,0,0,0
XGo2NYXLM01XXRl8Z7aFDg,Rodney,13,2014-05-28 02:31:09,11,3,3,,0,3.93,0,0,0,0,0,0,0,0,0,0,0
eNYdCHcCJQbCtcQVDkFt9Q,Tiphany,48,2014-12-06 08:27:22,38,6,13,,1,4.12,1,0,0,0,0,0,1,0,0,0,3
ag8PP6klRTnlPIuXva6FpA,My,18,2020-10-04 19:48:55,1,1,1,,0,1.63,0,0,0,0,0,0,0,0,0,0,0
tt5gvIjsPjknaKSNoiseSg,Ryu Yu,34,2016-06-09 23:47:39,11,2,1,,0,3.61,0,0,0,0,0,0,0,0,0,0,0
0pao5mV7jHfkTx1Py8YE_A,Gabrielle,1,2021-09-14 16:47:27,0,0,0,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
9W5o1uCqYH8uXs0aeC0gng,Nataura,7,2019-08-08 22:22:06,1,1,0,,0,3.88,0,0,0,0,0,0,0,0,0,0,0
IQsWpHccX7I6giIGbGx7GQ,Candace,10,2016-08-27 01:38:59,1,1,0,,0,1.8,0,0,0,0,0,0,0,0,0,0,0
YFxFTn8xUXkl-zhqlESMBw,Sharon,8,2019-04-25 22:08:11,2,1,0,,0,3.75,0,0,0,0,0,0,0,0,0,0,0
bEWmzGhxzOT0RZSadlzbog,K,42,2016-04-22 13:42:15,17,0,1,,0,4.23,2,0,0,0,0,0,1,0,0,0,0
DesdS3JFnf2eHfJd7qAiPw,Mr,15,2011-07-31 16:22:48,32,3,9,,1,3.07,0,0,0,0,0,0,0,0,0,0,0
NW4aI5nz9blcboQNngMDYA,Jacenta,3,2010-08-22 03:06:27,16,4,4,,0,3.67,0,0,0,0,0,0,1,0,0,1,0
ROdQcyL8H7BnK0h3-cG9BQ,Raychel,16,2013-09-06 00:34:22,41,17,5,,1,2.14,0,0,0,0,0,0,1,0,0,0,0
x21qazD-sSJKNX7y0zSWOg,R3D The Army,5,2018-07-10 18:51:49,0,1,2,,0,3.6,0,0,0,0,0,0,0,0,0,0,0
29aKnf4_uYRZhcKe0VmCUg,D'Erikka,18,2014-08-17 02:23:47,6,1,0,,0,2.67,0,0,0,0,0,0,0,0,0,0,0
t1laGFTiJtDaGFnA9clYPA,Derin,6,2014-06-16 02:42:16,11,1,2,,0,1.83,0,0,0,0,0,0,1,1,1,0,0
xlgssuC3d-IN2-jfXfwm5A,Melissa,10,2018-04-07 18:07:28,3,0,0,,0,3.9,0,0,0,0,0,0,0,0,0,0,0
h3S3vzF8H5VmPNUzfPLCag,Carrie,25,2016-01-09 03:46:14,25,5,4,,0,3.33,0,0,0,0,0,0,1,0,0,0,0
8NAN_3kWzNtvXFR01voVbw,Naye',5,2017-03-05 18:00:07,6,1,0,,0,2.2,0,0,0,0,0,0,0,0,0,0,0
z7NnbVwYPe3olm_UBRn14A,Jasmine,2,2017-05-18 22:14:26,3,1,0,,0,2.5,0,0,0,0,0,0,0,0,0,0,0
PqfxWMsJav8tE5YOiz1xwQ,Rhonda,2,2020-02-15 23:42:24,2,1,0,,0,2.0,0,0,0,0,0,0,0,0,0,0,0
qBaEKpXuVSWjbeqnU8Brbw,Latisha,5,2016-09-06 02:09:18,14,1,1,,0,2.0,0,1,0,0,0,0,1,0,0,0,0
wqi3BU5MJPYp4wFXBRnrgg,Mr.,20,2015-10-06 15:57:16,9,2,2,,0,1.74,0,0,0,0,0,0,0,0,0,0,0
ACTPdn2LptJs-_h2otioZg,Jolene,7,2017-06-01 02:53:27,3,1,2,,0,3.71,0,0,0,0,0,0,0,0,0,0,0
Bb7DZTdEXDX-UmYeaAbtqQ,Heather,11,2017-03-09 02:18:26,1,0,0,,0,2.92,0,0,0,0,0,0,0,0,0,0,0
LPcgvhiZYoPF60YbG2TcvA,Tina,4,2011-03-21 01:53:20,1,2,0,,4,4.5,0,1,1,0,0,1,0,0,0,0,0
Wnuy1CGp4KCkaR9OY8QKjA,Justin,2,2020-01-29 06:32:24,0,0,0,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
cGqZLdsU16J_UM-X5BsR2w,Shelley,9,2019-06-16 14:27:09,0,1,0,,0,1.89,0,0,0,0,0,0,0,0,0,0,0
mNYpkSBZATDyKMbDEDyoOA,Jon,5,2014-01-03 18:42:01,4,0,0,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
vHsb8W0HLgd30wcvmBOdHw,Alex,28,2013-02-08 03:43:37,22,5,0,,0,2.59,0,0,0,0,0,1,0,0,0,0,0
QPS9NVkBuSuHjK3cTLbyMw,Kevin,3,2010-03-13 16:28:34,3,0,0,,1,3.67,0,0,0,0,0,1,1,0,0,0,0
HnziyG9F5PxAscAgrbaqOA,Brad,1,2011-11-21 23:02:46,0,0,0,,0,3.0,0,0,0,0,0,0,0,0,0,0,0
e15MFHa46RwR4J7hQFNeQQ,Jeff,3,2010-09-02 20:54:39,0,0,0,,0,4.33,0,1,0,0,0,0,0,0,0,0,0
RQTultuEFCaxLmCbsE6IPQ,Phelesa,3,2018-12-22 14:22:57,1,0,0,,0,2.33,0,0,0,0,0,0,0,0,0,0,0
-30fJcjN-e653dEhZjDbfw,Krista,1,2020-08-15 01:15:28,0,1,0,,0,1.0,0,0,0,0,0,0,0,0,0,0,0
zn-LZYcMOarOsaV0iDSbpQ,LaDonna,1,2013-02-08 17:10:27,1,0,1,,0,2.0,0,0,0,0,0,0,0,0,0,0,0
